id,titre,artiste,album,annee,genre,duree_sec,ecoutes
356,Ashes Nights,Guns N' Roses,Distant Sessions,2005,ROCK,216,674751
357,Endless Rain,Metallica,Static Sessions,2014,METAL,332,774661
358,Chaos Silence,Antonio Vivaldi,Broken Sessions,2011,CLASSIQUE,291,443973
359,Fallen Dreams,Miles Davis,Fallen Sessions,1989,JAZZ,166,224597
360,Sunset Illusion,The Beatles,Lonely Sessions,1984,ROCK,155,162471
361,Distant Road,Led Zeppelin,Shadows Sessions,2019,ROCK,258,774524
362,Shadows Heart,Johnny Cash,Static Sessions,1991,COUNTRY,344,648052
363,Ashes Memory,Guns N' Roses,Silent Sessions,1980,ROCK,166,726501
364,Ashes Fire,Deadmau5,Fragile Sessions,1998,ELECTRONIC,131,430816
365,Static Love,Eminem,Crystal Sessions,2009,HIP_HOP,192,788939
366,Storm Freedom,Avicii,Wild Sessions,2004,ELECTRONIC,181,324500
367,Storm Illusion,Metallica,Wonder Sessions,2023,METAL,169,385709
368,Echoes Freedom,Antonio Vivaldi,Crystal Sessions,2019,CLASSIQUE,192,400422
369,Shadows Tears,Miles Davis,Electric Sessions,2022,JAZZ,171,634035
370,Fever Streets,Guns N' Roses,Fading Sessions,2011,ROCK,243,389244
371,Chaos Road,Nina Simone,Reckless Sessions,2024,JAZZ,252,130734
372,Broken Fire,Adele,Neon Sessions,1998,POP,351,538289
373,Ghost Tears,Guns N' Roses,Broken Sessions,1984,ROCK,329,473041
374,Fallen Dreams,Johnny Cash,Hollow Sessions,1973,COUNTRY,221,526392
375,Wild Memory,Eminem,Broken Sessions,1993,HIP_HOP,177,29556
376,Chaos Road,The Beatles,Ghost Sessions,2015,ROCK,286,351577
377,Silent Rain,Metallica,Fading Sessions,1988,METAL,354,495404
378,Ghost Rain,Daft Punk,Sunset Sessions,2015,ELECTRONIC,240,470392
379,Midnight Nights,Louis Armstrong,Midnight Sessions,1986,JAZZ,175,156782
380,Fragile Fate,Nina Simone,Shadows Sessions,1997,JAZZ,148,302096
381,Distant Road,Ed Sheeran,Fading Sessions,1985,POP,227,669989
382,Ashes Freedom,Metallica,Broken Sessions,1977,METAL,334,524108
383,Whispers Dreams,Louis Armstrong,Horizon Sessions,2002,JAZZ,267,253690
384,Silent Light,Daft Punk,Hollow Sessions,1970,ELECTRONIC,277,369954
385,Echoes Tears,Ed Sheeran,Electric Sessions,2012,POP,291,89772
386,Fallen Nights,Miles Davis,Shadows Sessions,2004,JAZZ,249,532280
387,Midnight Memory,Nina Simone,Fever Sessions,2000,JAZZ,131,666549
388,Fallen Streets,Travis Scott,Fragile Sessions,1971,HIP_HOP,211,70841
389,Wild Road,Eminem,Sunset Sessions,2007,HIP_HOP,308,793435
390,Silent Heart,The Beatles,Fallen Sessions,2004,ROCK,206,674020
391,Ghost Freedom,Michael Jackson,Reckless Sessions,2000,POP,281,191132
392,Silent Nights,Metallica,Reckless Sessions,2019,METAL,237,38780
393,Lonely Heart,Adele,Storm Sessions,1982,POP,346,43941
394,Chaos Light,The Beatles,Shadows Sessions,1995,ROCK,328,569408
395,Neon Heart,Jay-Z,Sunset Sessions,2011,HIP_HOP,168,300009
396,Fever Heart,Eminem,Fever Sessions,2011,HIP_HOP,204,286488
397,Storm Truth,Nirvana,Hollow Sessions,1995,ROCK,310,461097
398,Burning Waves,Johnny Cash,Electric Sessions,2001,COUNTRY,297,521691
399,Chaos Silence,Eminem,Neon Sessions,2021,HIP_HOP,141,762400
400,Broken Tears,Kendrick Lamar,Ashes Sessions,2022,HIP_HOP,166,571971
